School ID,Grade 7 Male,Grade 7 Female,Grade 8 Male,Grade 8 Female,Grade 9 Male,Grade 9 Female,Grade 10 Male,Grade 10 Female,Grade 11 Male,Grade 11 Female,Grade 12 Male,Grade 12 Female,SPED NG Male,SPED NG Female
302994,71,78,60,69,41,69,56,55,0,0,0,0,0,0
302995,293,250,258,271,251,227,162,172,0,0,0,0,0,0
302996,14,17,28,13,24,17,26,13,0,0,0,0,0,0
302997,302,341,287,322,252,295,240,257,0,0,0,0,0,0
302998,45,49,47,39,37,26,26,31,0,0,0,0,0,0
302999,73,53,39,68,38,59,43,46,0,0,0,0,0,0
303000,219,190,195,208,189,174,157,176,0,0,0,0,0,0
303001,34,31,30,31,40,33,33,38,0,0,0,0,0,0
303002,53,42,57,54,36,34,29,36,0,0,0,0,0,0
303003,10,20,11,16,20,20,9,14,0,0,0,0,0,0
303004,32,32,36,25,30,37,30,31,0,0,0,0,0,0
303005,65,68,58,40,43,49,52,51,0,0,0,0,0,0
303006,17,17,24,27,26,24,27,20,0,0,0,0,0,0
303007,135,152,115,93,130,113,85,72,0,0,0,0,0,0
303008,111,107,102,89,61,89,73,75,0,0,0,0,0,0
303009,62,36,40,32,30,36,38,33,0,0,0,0,0,0
303010,53,31,52,45,36,26,35,28,0,0,0,0,0,0
303011,33,26,33,26,29,26,25,16,0,0,0,0,0,0
303012,31,34,33,30,24,24,22,31,0,0,0,0,0,0
303013,29,30,29,26,35,28,32,22,0,0,0,0,0,0
303015,23,34,34,28,22,34,18,20,0,0,0,0,0,0
303016,134,112,120,121,123,109,104,103,0,0,0,0,0,0
303017,70,67,40,67,64,52,47,68,0,0,0,0,0,0
303018,83,58,78,59,52,50,61,45,0,0,0,0,0,0
303019,147,132,140,104,108,98,86,98,0,0,0,0,0,0
303020,105,85,85,99,85,90,89,70,0,0,0,0,0,0
303021,12,10,17,13,18,16,24,18,0,0,0,0,0,0
303022,43,43,33,38,45,42,44,24,0,0,0,0,0,0
303023,50,50,68,26,31,34,32,51,0,0,0,0,0,0
303024,126,132,122,108,106,97,98,83,0,0,0,0,0,0
303025,91,81,87,72,70,70,67,51,0,0,0,0,0,0
303026,100,113,93,92,83,88,65,86,0,0,0,0,0,0
303027,30,37,26,46,19,27,16,25,0,0,0,0,0,0
303028,87,96,71,87,76,78,65,89,0,0,0,0,0,0
303029,125,129,96,108,106,115,60,79,0,0,0,0,0,0
303030,70,63,67,68,70,72,64,47,0,0,0,0,0,0
303031,34,43,35,39,51,35,29,24,0,0,0,0,0,0
303032,19,11,20,17,16,20,15,16,0,0,0,0,0,0
303033,51,46,59,43,43,40,49,35,0,0,0,0,0,0
303034,123,97,103,89,84,87,94,74,0,0,0,0,0,0
303035,221,166,140,141,126,115,135,135,0,0,0,0,0,0
303036,48,53,34,51,31,43,24,35,0,0,0,0,0,0
303037,94,80,86,90,97,68,73,89,0,0,0,0,0,0
303038,39,38,30,25,21,32,27,30,0,0,0,0,0,0
303039,59,55,51,61,27,48,31,40,0,0,0,0,0,0
303040,168,156,161,155,110,144,94,125,0,0,0,0,0,0
303041,35,33,30,25,27,21,29,33,0,0,0,0,0,0
303042,161,150,155,133,123,120,123,137,0,0,0,0,0,0
303043,69,77,48,66,49,48,40,47,0,0,0,0,0,0
303044,177,161,128,115,122,112,101,107,0,0,0,0,0,0
303045,55,51,43,59,49,37,46,37,0,0,0,0,0,0
303046,60,46,49,49,51,62,32,43,0,0,0,0,0,0
303047,400,397,362,371,341,346,291,338,0,0,0,0,0,0
303048,88,85,81,81,75,74,59,56,0,0,0,0,0,0
303049,78,95,101,99,62,74,50,77,0,0,0,0,0,0
303050,68,38,51,48,49,33,44,38,0,0,0,0,0,0
303051,25,26,23,31,22,16,13,21,0,0,0,0,0,0
303052,133,148,136,128,116,117,129,135,0,0,0,0,0,0
303053,96,77,74,74,77,69,79,66,0,0,0,0,0,0
303054,146,139,110,137,131,101,89,84,0,0,0,0,0,0
303055,44,70,34,83,27,47,35,70,0,0,0,0,0,0
303056,114,102,96,100,122,91,109,104,0,0,0,0,0,0
303057,106,75,92,72,92,75,69,46,0,0,0,0,0,0
303058,36,27,34,19,34,18,21,27,0,0,0,0,0,0
303059,33,41,34,37,23,36,39,38,0,0,0,0,0,0
303060,57,52,53,41,43,43,40,26,0,0,0,0,0,0
303061,304,333,294,302,225,272,210,247,0,0,0,0,0,0
303062,66,78,69,64,53,64,47,62,0,0,0,0,0,0
303063,365,317,285,333,260,293,218,276,0,0,0,0,0,0
303065,425,398,329,391,251,356,214,310,0,0,0,0,0,0
303066,249,265,225,236,228,210,145,176,0,0,0,0,0,0
303067,61,64,58,57,48,48,39,50,0,0,0,0,0,0
303068,63,48,58,51,50,38,44,46,0,0,0,0,0,0
303069,199,216,173,165,142,176,122,149,0,0,0,0,0,0
303070,60,46,57,45,41,47,63,58,0,0,0,0,0,0
303071,51,30,35,34,37,44,31,38,0,0,0,0,0,0
303072,58,46,32,47,53,42,32,41,0,0,0,0,0,0
303073,62,45,65,42,41,45,38,39,0,0,0,0,0,0
303074,31,31,27,33,28,25,25,53,0,0,0,0,0,0
303075,293,280,281,273,215,236,233,182,0,0,0,0,0,0
